Phylum,Class,Order,Family,Genus,Species,Oxygen,pH,Spore,energy_mode,primary_food_source,id
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Photorhabdus,Temperata,facultative anaerobe,Unknown,0,,,610
Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Fortis,facultative anaerobe,alkaliphile,0,,,611
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Caviae,facultative anaerobe,alkaliphile,0,mixed,carbohydrates,613
Bacteroidota,Flavobacteriia,Flavobacteriales,Owenweeksiaceae,Owenweeksia,Hongkongensis,aerobe,alkaliphile,0,,,616
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Rhodoluna,,aerobe,Unknown,Unknown,,,617
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Kordia,,aerobe,alkaliphile,0,,,621
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,,aerobe,alkaliphile,0,,,623
Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Endodontalis,anaerobe,Unknown,0,fermenter,carbohydrates,629
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Sporobacter,Termitidis,anaerobe,Unknown,Unknown,,,630
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Oxobacter,,anaerobe,Unknown,Unknown,,,631
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Parvibaculaceae,Parvibaculum,,aerobe,acidophile,0,,,634
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Fimetarium,anaerobe,alkaliphile,1,,,635
Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Friedmanniella,,aerobe,alkaliphile,Unknown,,,636
Bacillota,Clostridia,Eubacteriales,Eubacteriales Family XII. Incertae Sedis,Fusibacter,,anaerobe,Unknown,0,,,637
Pseudomonadota,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,,aerobe,alkaliphile,0,,,638
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Coli,facultative anaerobe,alkaliphile,0,mixed,N/A,639
Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,Rimae,anaerobe,Unknown,Unknown,fermenter,carbohydrates,643
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Ruminobacter,,anaerobe,Unknown,Unknown,,,644
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,,anaerobe,Unknown,Unknown,,,646
Streptophyta,Magnoliopsida,Ericales,Marcgraviaceae,Schwartzia,,anaerobe,Unknown,Unknown,,,647
Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Lysobacter,,aerobe,alkaliphile,0,,,648
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Oleae,facultative anaerobe,alkaliphile,0,,,649
Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Psychrilyobacter,,anaerobe,Unknown,0,,,652
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Cocleatum,anaerobe,alkaliphile,1,,,653
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Samsonia,Erythrinae,facultative anaerobe,Unknown,Unknown,,,658
Arthropoda,Insecta,Phasmatodea,Bacillidae,Bacillus,Humi,aerobe,alkaliphile,1,,,659
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Oceanimonas,,obligate aerobe,alkaliphile,Unknown,,,660
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Intermedia,anaerobe,alkaliphile,0,fermenter,carbohydrates,661
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,Xiamenensis,aerobe,alkaliphile,0,,,662
Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Petrobacter,Succinatimandens,Unknown,Unknown,Unknown,,,665
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,,aerobe,alkaliphile,0,,,666
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Paramesenteroides,anaerobe,alkaliphile,0,mixed,carbohydrates,668
Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Aerolata,aerobe,alkaliphile,0,,,669
Streptophyta,Magnoliopsida,Ericales,Theaceae,Gordonia,,aerobe,alkaliphile,0,N/A,N/A,670
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Swaminathania,,Unknown,acidophile,Unknown,,,671
Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,,anaerobe,Unknown,Unknown,,,673
Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Finegoldia,,anaerobe,Unknown,0,,,674
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,,aerobe,alkaliphile,0,,,676
Bacillota,Clostridia,Eubacteriales,Peptococcaceae,Desulfitobacter,,anaerobe,Unknown,1,,,677
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,,anaerobe,Unknown,Unknown,,,678
Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Rosenbergii,facultative anaerobe,alkaliphile,0,,,679
Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Marinimicrobium,,aerobe,alkaliphile,0,,,680
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Viridiflava,aerobe,alkaliphile,0,,,681
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Hydrophila,facultative anaerobe,alkaliphile,0,mixed,organic_unspecified,682
Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Janibacter,,aerobe,alkaliphile,0,,,684
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Scardovia,,anaerobe,Unknown,0,,,685
Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,,aerobe,alkaliphile,0,,,687
Bacillota,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,Oncorhynchi,aerobe,alkaliphile,1,,,688
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,,aerobe,alkaliphile,0,,,689
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,,aerobe,alkaliphile,0,,,691
Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,,facultative anaerobe,alkaliphile,0,,,692
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Oenococcus,Kitaharae,aerobe,Unknown,Unknown,,,694
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Saccharogumia,anaerobe,alkaliphile,1,,,695
Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Citrullus,Lanatus,Unknown,Unknown,Unknown,,,699
Bacillota,Tissierellia,Tissierellales,Tissierellaceae,Dethiosulfatibacter,,anaerobe,alkaliphile,0,,,700
Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Pilimelia,,Unknown,Unknown,1,N/A,N/A,701
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Imtechella,Halotolerans,aerobe,alkaliphile,0,,,703
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Plantarum,anaerobe,acidophile,0,mixed,carbohydrates,705
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Cibaria,anaerobe,alkaliphile,0,mixed,N/A,706
Chloroflexota,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus,,anaerobe,alkaliphile,Unknown,,,707
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Aquamonas,Haywardensis,Unknown,Unknown,Unknown,,,708
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Profftia,Virida,Unknown,Unknown,Unknown,,,709
Synergistota,Synergistia,Synergistales,Dethiosulfovibrionaceae,Dethiosulfovibrio,Peptidovorans,anaerobe,alkaliphile,0,,,710
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Ecksteinia,Adelgidicola,Unknown,Unknown,Unknown,,,711
Bacillota,Bacilli,Bacillales,Planococcaceae,Solibacillus,,aerobe,alkaliphile,1,,,712
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Neptuniibacter,Caesariensis,aerobe,Unknown,Unknown,,,713
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter,,aerobe,Unknown,Unknown,,,714
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Thermautotrophicus,anaerobe,alkaliphile,Unknown,fermenter,N/A,715
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,,aerobe,alkaliphile,0,,,717
Pseudomonadota,Betaproteobacteria,Neisseriales,Leeiaceae,Leeia,Oryzae,aerobe,alkaliphile,0,,,719
Cyanobacteriota,Cyanophyceae,Leptolyngbyales,Leptolyngbyaceae,Leptolyngbya,,Unknown,Unknown,Unknown,,,720
Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Subflava,microaerophile,alkaliphile,0,mixed,N/A,722
Streptophyta,Magnoliopsida,Brassicales,Caricaceae,Carica,Papaya,Unknown,Unknown,Unknown,,,725
Streptophyta,Pinopsida,Araucariales,Podocarpaceae,Nageia,Nagi,Unknown,Unknown,Unknown,,,727
Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacterium,,anaerobe,acidophile,1,,,728
Arthropoda,Insecta,Phasmatodea,Bacillidae,Bacillus,Firmus,aerobe,alkaliphile,1,mixed,carbohydrates,729
Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Dehalobacter,,anaerobe,Unknown,Unknown,,,731
Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Wautersiella,,Unknown,Unknown,Unknown,,,732
Arthropoda,Insecta,Phasmatodea,Bacillidae,Bacillus,Horti,aerobe,alkaliphile,1,,,733
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,,aerobe,alkaliphile,0,,,734
Pseudomonadota,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrospira,,microaerophile,alkaliphile,Unknown,,,735
Bacillota,Clostridia,Peptostreptococcales,Acidaminobacteraceae,Acidaminobacter,,anaerobe,Unknown,Unknown,,,737
Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Uliginosibacterium,,aerobe,acidophile,0,,,740
Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Thermosinus,,anaerobe,Unknown,0,,,743
Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Nitroguajacolicus,aerobe,alkaliphile,0,,,744
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Confusa,anaerobe,alkaliphile,0,mixed,N/A,746
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Perlucidibacaceae,Perlucidibaca,,aerobe,alkaliphile,Unknown,,,747
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Influenzae-Murium,microaerophile,Unknown,0,,,748
Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera,,aerobe,alkaliphile,0,,,749
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconacetobacter,Liquefaciens,aerobe,acidophile,0,,,750
Mycoplasmatota,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Hyorhinis,aerobe,Unknown,Unknown,N/A,N/A,751
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Lampropedia,,aerobe,alkaliphile,0,,,752
Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,Marina,aerobe,alkaliphile,1,,,754
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lutaonella,Thermophilus,aerobe,alkaliphile,1,,,756
Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomicrobium,Buryatense,aerobe,acidophile,0,,,757
Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Aminophilus,anaerobe,alkaliphile,0,,,758
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Proteiniborus,Ethanoligenes,anaerobe,alkaliphile,0,,,761
Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azovibrio,,Unknown,Unknown,Unknown,,,762
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Ruminicola,anaerobe,alkaliphile,0,fermenter,N/A,764
Arthropoda,Insecta,Phasmatodea,Bacillidae,Bacillus,Selenatarsenatis,aerobe,alkaliphile,1,,,765
Arthropoda,Insecta,Hemiptera,Pseudococcidae,Paracoccus,Marcusii,aerobe,alkaliphile,0,,,766
Arthropoda,Insecta,Phasmatodea,Bacillidae,Bacillus,Flexus,aerobe,alkaliphile,1,mixed,carbohydrates,767
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseivivax,,aerobe,alkaliphile,Unknown,,,768
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Myroides,Odoratimimus,aerobe,alkaliphile,0,N/A,N/A,769
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rhodobacter,,aerobe,alkaliphile,0,,,770
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Haloferula,Rosea,aerobe,alkaliphile,0,,,771
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rhodovulum,,anaerobe,alkaliphile,0,,,772
Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,,aerobe,alkaliphile,0,,,773
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseisalinus,Antarcticus,microaerophile,alkaliphile,0,,,774
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Maritimibacter,Alkaliphilus,anaerobe,alkaliphile,1,,,775
Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Johnsonii,aerobe,alkaliphile,0,fermenter,carbohydrates,776
Arthropoda,Insecta,Phasmatodea,Bacillidae,Bacillus,Coagulans,aerobe,alkaliphile,1,N/A,N/A,777
Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,,aerobe,alkaliphile,1,,,780
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Vaginalis,anaerobe,acidophile,0,mixed,carbohydrates,783
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Nautella,Italica,Unknown,Unknown,Unknown,,,784
Deferribacterota,Deferribacteres,Deferribacterales,Calditerrivibrionaceae,Calditerrivibrio,Nitroreducens,anaerobe,Unknown,0,N/A,N/A,785
Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,,aerobe,alkaliphile,0,,,786
Bacillota,Bacilli,Bacillales,Bacillaceae,Ornithinibacillus,Scapharcae,aerobe,alkaliphile,1,,,787
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Brenneria,Alni,facultative anaerobe,alkaliphile,Unknown,,,788
Acidobacteriota,Terriglobia,Bryobacterales,Solibacteraceae,Candidatus Solibacter,,Unknown,Unknown,Unknown,,,789
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Coleohominis,anaerobe,acidophile,0,mixed,carbohydrates,792
Arthropoda,Insecta,Phasmatodea,Bacillidae,Bacillus,Aurantiacus,aerobe,alkaliphile,1,,,793
Arthropoda,Insecta,Coleoptera,Curculionidae,Syntrophus,,anaerobe,Unknown,Unknown,,,796
Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,Methyloversatilis,,aerobe,Unknown,Unknown,,,797
Bacillota,Bacilli,Bacillales,Thermoactinomycetaceae,Thermoflavimicrobium,Dichotomicum,aerobe,alkaliphile,1,,,799
Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,,aerobe,alkaliphile,1,N/A,N/A,800
Thermodesulfobacteriota,Desulfuromonadia,Desulfuromonadales,Desulfuromonadaceae,Pelobacter,,anaerobe,Unknown,Unknown,,,802
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Dispersa,facultative anaerobe,alkaliphile,0,,,803
Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Marichromatium,Fluminis,anaerobe,Unknown,Unknown,,,804
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,Aurantimonas,,aerobe,alkaliphile,0,,,805
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Trabulsiella,Farmeri,aerobe,Unknown,Unknown,,,806
Thermodesulfobacteriota,Desulfobaccia,Desulfobaccales,Desulfobaccaceae,Desulfobacca,,anaerobe,Unknown,Unknown,,,808
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Sufflavibacter,Maritimus,Unknown,Unknown,Unknown,,,809
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Baumannia,Cicadellinicola,Unknown,Unknown,Unknown,,,812
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Caldanaerocella,,Unknown,Unknown,Unknown,,,813
Bacillota,Clostridia,Christensenellales,Christensenellaceae,Christensenella,,anaerobe,alkaliphile,0,,,814
Cnidaria,Anthozoa,Actiniaria,Edwardsiidae,Edwardsiella,,facultative anaerobe,Unknown,Unknown,,,816
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Rathayibacter,,obligate aerobe,Unknown,Unknown,,,817
Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Viscericola,anaerobe,Unknown,0,,,818
Deferribacterota,Deferribacteres,Deferribacterales,Flexistipitaceae,Flexistipes,,anaerobe,Unknown,Unknown,,,819
Bacillota,Clostridia,Peptostreptococcales,Thermotaleaceae,Geosporobacter,,anaerobe,Unknown,1,,,820
Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Oligella,,aerobe,Unknown,0,,,822
Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,,anaerobe,alkaliphile,Unknown,,,823
Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,,anaerobe,acidophile,1,,,825
Bacillota,Clostridia,Eubacteriales,Peptococcaceae,Desulfonispora,Thiosulfatigenes,anaerobe,Unknown,Unknown,,,826
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Budviciaceae,Pragia,Fontium,Unknown,Unknown,Unknown,,,830
Arthropoda,Insecta,Hemiptera,Diaspididae,Morganella,Morganii,facultative anaerobe,Unknown,Unknown,mixed,N/A,832
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Alloscardovia,,anaerobe,acidophile,0,,,833
Bacteroidota,Cytophagia,Cytophagales,Leadbetterellaceae,Leadbetterella,,aerobe,Unknown,Unknown,,,834
Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Pseudoxanthomonas,Mexicana,aerobe,alkaliphile,0,,,835
Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomonas,,aerobe,acidophile,Unknown,,,836
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus,Poinarii,facultative anaerobe,Unknown,0,,,839
Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfotignum,,anaerobe,alkaliphile,Unknown,,,840
Bacillota,Dethiobacteria,Dethiobacterales,Dethiobacteraceae,Dethiobacter,,anaerobe,Unknown,Unknown,,,841
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Porphyrae,obligate aerobe,alkaliphile,0,,,842
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Brenneria,Salicis,facultative anaerobe,alkaliphile,Unknown,,,843
Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,,Unknown,Unknown,Unknown,,,845
Pseudomonadota,Gammaproteobacteria,Cardiobacteriales,Ignatzschineriaceae,Wohlfahrtiimonas,,aerobe,alkaliphile,0,,,846
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,,aerobe,alkaliphile,Unknown,,,847
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Hamiltonella,,Unknown,Unknown,Unknown,,,848
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Phlomobacter,,Unknown,Unknown,Unknown,,,850
Actinomycetota,Actinomycetes,Micrococcales,Cellulomonadaceae,Cellulomonas,,aerobe,alkaliphile,0,,,853
Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Halorhodospira,,anaerobe,Unknown,Unknown,,,854
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Kaistobacter,,Unknown,Unknown,Unknown,,,855
Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Candidatus Glomeribacter,,Unknown,Unknown,Unknown,,,856
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Hyphomicrobium,Zavarzinii,aerobe,alkaliphile,Unknown,,,857
Bacillota,Bacilli,Bacillales,Paenibacillaceae,Ammoniphilus,,facultative anaerobe,alkaliphile,1,,,858
Pseudomonadota,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thioalkalimicrobium,,obligate aerobe,alkaliphile,Unknown,,,859
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Tunicata,obligate aerobe,alkaliphile,0,,,861
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella,Terrigena,Unknown,Unknown,Unknown,,,862
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Soli,aerobe,alkaliphile,0,,,864
Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Cavernae,anaerobe,alkaliphile,0,,,866
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Rhodoplanes,,anaerobe,alkaliphile,Unknown,,,867
Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Melissococcus,Plutonius,anaerobe,Unknown,Unknown,,,868
Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Thermobispora,Bispora,Unknown,Unknown,Unknown,,,869
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus,Romanii,facultative anaerobe,Unknown,0,,,870
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Botulinum,anaerobe,alkaliphile,1,fermenter,organic_unspecified,871
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Influenzae,microaerophile,Unknown,0,mixed,carbohydrates,872
Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,,aerobe,alkaliphile,0,N/A,N/A,873
Actinomycetota,Nitriliruptoria,Euzebyales,Euzebyaceae,Euzebya,,aerobe,alkaliphile,0,,,874
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Venationis,anaerobe,alkaliphile,1,,,875
Bacteroidota,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Fluviicola,,aerobe,alkaliphile,0,,,876
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,,aerobe,alkaliphile,0,,,877
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Psychroflexus,,aerobe,alkaliphile,0,,,879
Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Thiomonas,Cuprina,aerobe,acidophile,0,,,880
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Sobrinus,facultative anaerobe,alkaliphile,0,N/A,N/A,881
Rhodothermota,Rhodothermia,Rhodothermales,Rhodothermaceae,Rhodothermus,,aerobe,Unknown,0,,,883
Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium,,anaerobe,Unknown,Unknown,,,885
Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Cloacibacterium,,aerobe,alkaliphile,0,,,886
Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Pylori,microaerophile,Unknown,0,respirer,N/A,887
Pseudomonadota,Alphaproteobacteria,Maricaulales,Maricaulaceae,Oceanicaulis,,aerobe,alkaliphile,Unknown,,,888
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Curtobacterium,,aerobe,acidophile,0,,,889
Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,bisporus,Aerobic,,Sporulating (basidiospores); reproduction also by budding,fermenter,complex_carbs_fiber,890
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Sticklandii,anaerobe,alkaliphile,1,fermenter,organic_unspecified,891
Arthropoda,Insecta,Phasmatodea,Bacillidae,Bacillus,Coahuilensis,aerobe,alkaliphile,1,N/A,N/A,892
Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Agathobaculum,desmolans,,,,N/A,N/A,893
Actinomycetota,Actinomycetes,Micrococcales,Sanguibacteraceae,Sanguibacter,,aerobe,alkaliphile,0,,,894
Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,actinomycetemcomitans,,,,N/A,N/A,895
Bacillota,Bacilli,Bacillales,Planococcaceae,Sporosarcina,,aerobe,alkaliphile,1,,,896
Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,aphrophilus,Facultative,,,mixed,N/A,897
Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta,,anaerobe,Unknown,Unknown,,,899
Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,tumefaciens,Aerobe,,,respirer,N/A,900
Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,,aerobe,Unknown,0,,,901
Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Alfipia,birgiae,Aerobe,,,respirer,N/A,902
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Pseudidiomarina,,aerobe,alkaliphile,0,,,903
Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Alicycliphilus,denitrificans,Facultative,,,mixed,N/A,904
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Agarivorans,,aerobe,alkaliphile,0,,,905
