Phylum,Class,Order,Family,Genus,Species,Oxygen,pH,Spore
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Paradoxus,aerobe,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Coprosuis,anaerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Felis,microaerophile,Unknown,0
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Pneumotropica,microaerophile,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Freundii,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Caloramator,,anaerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Butyricum,anaerobe,alkaliphile,1
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Intestinale,anaerobe,alkaliphile,1
Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,Vaginae,anaerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Bacillota,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Laterosporus,aerobe,alkaliphile,1
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Wohlfahrtii,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Parahaemolyticus,facultative anaerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Desulfallaceae,Sporotomaculum,,anaerobe,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Papillibacter,Cinnamivorans,anaerobe,Unknown,Unknown
Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Denitrobacter,,anaerobe,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Thiomonas,Cuprina,aerobe,acidophile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans,Curvus,aerobe,Unknown,Unknown
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Adolescentis,anaerobe,acidophile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Salinispora,Tropica,aerobe,Unknown,0
Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Thermomonas,,aerobe,alkaliphile,0
Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Lividum,aerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Sarcina,,anaerobe,Unknown,Unknown
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Yabuuchiae,aerobe,alkaliphile,0
Synergistota,Synergistia,Synergistales,Acetomicrobiaceae,Acetomicrobium,Acetomicrobium hydrogeniformans,anaerobe,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0
Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,,aerobe,Unknown,Unknown
Arthropoda,Insecta,Coleoptera,Lampyridae,Serratia,Marcescens,aerobe,alkaliphile,0
Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Propionivibrio,,anaerobe,Unknown,Unknown
Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Vulgaris,anaerobe,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Gasigenes,anaerobe,alkaliphile,1
Bacillota,Clostridia,Caldicellulosiruptorales,Caldicellulosiruptoraceae,Caldicellulosiruptor,Saccharolyticus,anaerobe,alkaliphile,0
Synergistota,Synergistia,Synergistales,Dethiosulfovibrionaceae,Pyramidobacter,Piscolens,anaerobe,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Anaerotruncus,,anaerobe,alkaliphile,0
Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Pigmentiphaga,,aerobe,alkaliphile,0
Cyanobacteriota,Cyanophyceae,Gloeobacterales,Gloeobacteraceae,Gloeobacter,Violaceus,Unknown,Unknown,Unknown
Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,,Unknown,Unknown,Unknown
Chlorobiota,Chlorobiia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorochromatii,anaerobe,Unknown,Unknown
Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Coprobacillus,Cateniformis,anaerobe,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Gracilibacteraceae,Gracilibacter,,anaerobe,Unknown,Unknown
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Garvieae,facultative anaerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Andropogonis,aerobe,Unknown,0
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Tepidimonas,,aerobe,alkaliphile,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Pseudobdellovibrionaceae,Bdellovibrio,,Unknown,Unknown,Unknown
Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Parvimonas,,anaerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Skyensis,facultative anaerobe,Unknown,Unknown
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Ruminantium,anaerobe,Unknown,0
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Hespellia,Stercorisuis,anaerobe,Unknown,0
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Tolumonas,,aerobe,alkaliphile,Unknown
Bacillota,Clostridia,Eubacteriales,Desulfotomaculaceae,Desulfotomaculum,,anaerobe,alkaliphile,1
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Bacillota,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Pomorum,aerobe,acidophile,1
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinatimonas,Hippei,anaerobe,Unknown,0
Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Roseateles,Depolymerans,aerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,,anaerobe,Unknown,Unknown
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Delafieldii,aerobe,alkaliphile,0
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Verrucomicrobium,,aerobe,Unknown,Unknown
Bacillota,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Cycloheptanicus,aerobe,acidophile,1
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Celatum,anaerobe,alkaliphile,1
Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Desulfosporosinus,Meridiei,anaerobe,Unknown,1
Bacillota,Tissierellia,Tissierellales,Tissierellaceae,Sedimentibacter,,anaerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Adolescentis,anaerobe,acidophile,0
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Robinsoniella,Peoriensis,anaerobe,Unknown,1
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Pseudomonadota,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Albertensis,facultative anaerobe,acidophile,0
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemania,,anaerobe,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Delphinicola,facultative anaerobe,Unknown,Unknown
Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,,aerobe,alkaliphile,0
Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,,anaerobe,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Methylpentosum,anaerobe,alkaliphile,1
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Sharpea,,anaerobe,Unknown,0
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Halieaceae,Congregibacter,,microaerophile,alkaliphile,0
Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Chelonobacter,,aerobe,Unknown,Unknown
Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,,anaerobe,Unknown,Unknown
Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,,aerobe,Unknown,Unknown
Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Gallionella,,Unknown,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Chrysanthemi,facultative anaerobe,alkaliphile,0
Bacillota,Bacilli,Bacillales,Exiguobacteraceae,Exiguobacterium,,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Hafnia,Alvei,aerobe,Unknown,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Aquincola,Tertiaricarbonis,aerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Butyricicoccaceae,Butyricicoccus,Pullicaecorum,anaerobe,acidophile,0
Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Rubrivivax,Gelatinosus,aerobe,Unknown,0
Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Brackiella,Oedipodis,aerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Plesiomonas,Shigelloides,aerobe,Unknown,0
Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Stellifer,aerobe,alkaliphile,1
Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Coriobacterium,,anaerobe,Unknown,Unknown
Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylobacillus,,aerobe,alkaliphile,0
Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Kingella,,aerobe,Unknown,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,,facultative anaerobe,alkaliphile,0
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Adolescentis,anaerobe,acidophile,0
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Microbacterium,,aerobe,alkaliphile,0
Bacillota,Bacilli,Bacillales,Planococcaceae,Rummeliibacillus,,aerobe,Unknown,1
Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Gordonii,anaerobe,alkaliphile,0
Bacillota,Clostridia,Peptostreptococcales,Natronincolaceae,Alkaliphilus,Transvaalensis,anaerobe,alkaliphile,1
Bacillota,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus,,aerobe,alkaliphile,0
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Adhaesivum,aerobe,alkaliphile,0
Bacillota,Bacilli,Bacillales,Listeriaceae,Brochothrix,,aerobe,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Bifermentans,anaerobe,alkaliphile,1
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Proteiniclasticum,,anaerobe,alkaliphile,0
Bacillota,Tissierellia,Tissierellales,Thermohalobacteraceae,Clostridiisalibacter,,anaerobe,alkaliphile,1
Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,,anaerobe,Unknown,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Metallolevans,anaerobe,alkaliphile,1
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Giesbergeria,,aerobe,alkaliphile,0
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Aquiluna,Rubra,Unknown,Unknown,Unknown
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Mucosae,anaerobe,acidophile,0
Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,,aerobe,alkaliphile,Unknown
Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Acaricomes,Phytoseiuli,aerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geobacter,Lovleyi,anaerobe,Unknown,Unknown
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Pallens,anaerobe,alkaliphile,0
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Infantis,facultative anaerobe,alkaliphile,0
Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,Brevibacterium,,aerobe,alkaliphile,0
Verrucomicrobiota,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,,aerobe,acidophile,Unknown
Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Epidermidis,aerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Maritimum,anaerobe,alkaliphile,1
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Rhodanobacter,,aerobe,alkaliphile,0
Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Flexispira,,Unknown,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Sordellii,anaerobe,alkaliphile,1
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Mobiluncus,,anaerobe,Unknown,0
Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Succinus,aerobe,alkaliphile,0
Pseudomonadota,Hydrogenophilia,Hydrogenophilales,Hydrogenophilaceae,Hydrogenophilus,,aerobe,Unknown,0
Spirochaetota,Spirochaetia,Spirochaetales,Sphaerochaetaceae,Sphaerochaeta,,anaerobe,Unknown,Unknown
Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,,facultative anaerobe,alkaliphile,0
Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Succinispira,Mobilis,anaerobe,alkaliphile,1
Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Anaeromusa,,anaerobe,Unknown,Unknown
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Thailandensis,anaerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Neonatale,anaerobe,alkaliphile,1
Actinomycetota,Actinomycetes,Micrococcales,Dermacoccaceae,Dermacoccus,,aerobe,Unknown,1
Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Lenta,anaerobe,Unknown,Unknown
Bacillota,Clostridia,Halanaerobiales,Halobacteroidaceae,Halanaerobacter,,anaerobe,alkaliphile,0
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Ruminis,anaerobe,acidophile,0
Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Intrasporangium,Calvum,aerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Dyadobacter,,aerobe,alkaliphile,0
Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Alloiococcus,,aerobe,Unknown,0
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum,,microaerophile,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Guillouiae,aerobe,alkaliphile,0
Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Zoogloea,,aerobe,Unknown,0
Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Tepidibacter,,anaerobe,alkaliphile,1
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Minor,facultative anaerobe,alkaliphile,0
Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,,aerobe,alkaliphile,0
Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,Sulfuritalea,,anaerobe,Unknown,Unknown
Synergistota,Synergistia,Synergistales,Synergistaceae,Synergistes,,Unknown,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylotenera,Mobilis,anaerobe,alkaliphile,1
Arthropoda,Insecta,Phasmatodea,Bacillidae,Bacillus,Ginsengihumi,aerobe,alkaliphile,1
Streptophyta,Magnoliopsida,Fabales,Fabaceae,Lupinus,Luteus,Unknown,Unknown,Unknown
Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,,facultative anaerobe,Unknown,Unknown
Streptophyta,Magnoliopsida,Fabales,Fabaceae,Rothia,Dentocariosa,aerobe,alkaliphile,0
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Pontis,anaerobe,acidophile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Acidobacterium,,aerobe,acidophile,0
Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Candidatus Accumulibacter,,Unknown,Unknown,Unknown
Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Anaerovorax,,anaerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Bacillota,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Boronitolerans,aerobe,alkaliphile,1
Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Peptostreptococcus,Anaerobius,anaerobe,Unknown,1
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Callidus,anaerobe,Unknown,0
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Acidilactici,aerobe,acidophile,0
Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinobaculum,,anaerobe,Unknown,0
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Adolescentis,anaerobe,acidophile,0
Bacillota,Bacilli,Bacillales,Planococcaceae,Planomicrobium,,Unknown,alkaliphile,Unknown
Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,,aerobe,alkaliphile,1
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Cyanobacteriota,Cyanophyceae,Gloeobacterales,Gloeobacteraceae,Gloeobacter,Violaceus,Unknown,Unknown,Unknown
Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,,aerobe,Unknown,Unknown
Bacillota,Bacilli,Bacillales,Bacillaceae,Pontibacillus,,aerobe,alkaliphile,1
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Adolescentis,anaerobe,acidophile,0
Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Dispersa,facultative anaerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Trabulsiella,Farmeri,aerobe,Unknown,Unknown
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Sufflavibacter,Maritimus,Unknown,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Baumannia,Cicadellinicola,Unknown,Unknown,Unknown
Bacillota,Clostridia,Christensenellales,Christensenellaceae,Christensenella,,anaerobe,alkaliphile,0
Cnidaria,Anthozoa,Actiniaria,Edwardsiidae,Edwardsiella,,facultative anaerobe,Unknown,Unknown
Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Viscericola,anaerobe,Unknown,0
Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Oligella,,aerobe,Unknown,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Arthropoda,Insecta,Hemiptera,Diaspididae,Morganella,Morganii,facultative anaerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Pseudoxanthomonas,Mexicana,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
