id	kingdom	phylum	class_name	order_name	family	genus	species	genus_key	species_key	scientific_name	taxonomic_rank	ncbi_tax_id	gram_stain	oxygen_requirement	ph_preference	sporulation	energy_mode	primary_food_source	created_at	updated_at
743	Eubacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Atopobium	parvulum	atopobium	parvulum	Atopobium parvulum	species	1382	Positive	Anaerobe	NULL	Pairs - Singles	fermenter	N/A	2026-06-19 10:03:02	2026-06-19 10:03:04
744	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	namibiae	aureobasidium	namibiae	Aureobasidium namibiae	species	559561	NULL	Aerobe	NULL	Sporulating	respirator	lipids	2026-06-19 10:03:02	2026-06-19 10:03:04
745	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	pullulans	aureobasidium	pullulans	Aureobasidium pullulans	species	5580	Positive	Aerobic	NULL	Sporulating (ascospores); reproduction also by budding	fermenter	complex_carbs_fiber	2026-06-19 10:03:02	2026-06-19 10:03:04
746	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	subglaciale	aureobasidium	subglaciale	Aureobasidium subglaciale	species	1042127	NULL	Aerobe	NULL	Sporulating	fermenter	complex_carbs_fiber	2026-06-19 10:03:02	2026-06-19 10:03:04
747	Eubacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Azorhizobium	caulinodans	azorhizobium	caulinodans	Azorhizobium caulinodans	species	7	Negative	NULL	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:05
748	Eubacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter	vinelandii	azotobacter	vinelandii	Azotobacter vinelandii	species	354	Negative	Aerobe	NULL	NULL	respirator	inorganic	2026-06-19 10:03:02	2026-06-19 10:03:04
749	NULL	Apicomplexa	Aconoidasida	Piroplasmida	Babesiidae	Babesia	microti	babesia	microti	Babesia microti	species	5868	NULL	NULL	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:05
750	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Babjeviella	inositovora	babjeviella	inositovora	Babjeviella inositovora	species	45609	NULL	Aerobe	NULL	Sporulating (ascospores)	fermenter	complex_carbs_fiber	2026-06-19 10:03:02	2026-06-19 10:03:04
751	Eubacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	altitudinis	bacillus	altitudinis	Bacillus altitudinis	species	1178544	Positive	Facultative anaerobe	NULL	NULL	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
752	Eubacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	amyloliquefaciens	bacillus	amyloliquefaciens	Bacillus amyloliquefaciens	species	1198291	Positive	Aerobe	NULL	Sporulating	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
753	Eubacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	anthracis	bacillus	anthracis	Bacillus anthracis	species	1392	NULL	NULL	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:04
754	Eubacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	atrophaeus	bacillus	atrophaeus	Bacillus atrophaeus	species	1452	Positive	Aerobe	NULL	Sporulating	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
755	Eubacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	cellulosilyticus	bacillus	cellulosilyticus	Bacillus cellulosilyticus	species	1413	NULL	NULL	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:04
756	NULL	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	circulans	bacillus	circulans	Bacillus circulans	species	1397	NULL	NULL	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:05
757	Eubacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	clausii	bacillus	clausii	Bacillus clausii	species	66692	Positive	Facultative anaerobe	NULL	Sporulating	mixed	N/A	2026-06-19 10:03:02	2026-06-19 10:03:04
758	Eubacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	cytotoxicus	bacillus	cytotoxicus	Bacillus cytotoxicus	species	315749	Positive	Aerobe	NULL	NULL	respirator	N/A	2026-06-19 10:03:02	2026-06-19 10:03:04
759	Eubacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	endophyticus	bacillus	endophyticus	Bacillus endophyticus	species	1196029	Positive	Aerobe	NULL	NULL	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:05
760	Eubacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	fordii	bacillus	fordii	Bacillus fordii	species	1121090	Positive	Aerobe	NULL	NULL	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:05
761	Eubacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	halodurans	bacillus	halodurans	Bacillus halodurans	species	272558	Positive	Facultative aerobe	NULL	Sporulating	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
762	Eubacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	infantis	bacillus	infantis	Bacillus infantis	species	1367477	Positive	Aerobe	NULL	NULL	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:05
763	Eubacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	licheniformis	bacillus	licheniformis	Bacillus licheniformis	species	1402	Positive	Facultative aerobe	NULL	Sporulating	mixed	N/A	2026-06-19 10:03:02	2026-06-19 10:03:04
764	NULL	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	megaterium	bacillus	megaterium	Bacillus megaterium	species	NULL	NULL	Aerobe	NULL	Sporulating	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
765	Eubacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	mojavensis	bacillus	mojavensis	Bacillus mojavensis	species	1051501	Positive	Aerobe	NULL	NULL	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:05
766	Eubacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	mycoides	bacillus	mycoides	Bacillus mycoides	species	1405	Positive	Facultative anaerobe	NULL	NULL	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
767	Eubacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	nealsonii	bacillus	nealsonii	Bacillus nealsonii	species	115979	Positive	Facultative anaerobe	NULL	NULL	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:05
768	NULL	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	pseudofirmus	bacillus	pseudofirmus	Bacillus pseudofirmus	species	NULL	NULL	Facultative aerobe	NULL	Sporulating	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:02
769	Eubacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	pseudomycoides	bacillus	pseudomycoides	Bacillus pseudomycoides	species	64104	NULL	NULL	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:04
770	Eubacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	pumilus	bacillus	pumilus	Bacillus pumilus	species	1408	Positive	Aerobe	NULL	Sporulating	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
771	Eubacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	sonorensis	bacillus	sonorensis	Bacillus sonorensis	species	119858	Positive	Facultative anaerobe	NULL	NULL	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:05
772	Eubacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	subtilis	bacillus	subtilis	Bacillus subtilis	species	1423	Positive	Facultative	NULL	Sporulating	mixed	N/A	2026-06-19 10:03:02	2026-06-19 10:03:04
773	Eubacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	thermoamylovorans	bacillus	thermoamylovorans	Bacillus thermoamylovorans	species	35841	Positive	Facultative anaerobe	NULL	NULL	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:05
774	Eubacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	thuringiensis	bacillus	thuringiensis	Bacillus thuringiensis	species	1428	Positive	Facultative anaerobe	NULL	Sporulating	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
775	Eubacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	timonensis	bacillus	timonensis	Bacillus timonensis	species	1033734	Positive	Facultative anaerobe	NULL	NULL	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
776	Eubacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	vallismortis	bacillus	vallismortis	Bacillus vallismortis	species	1051502	Positive	Aerobe	NULL	NULL	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
777	NULL	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	vulcani	bacillus	vulcani	Bacillus vulcani	species	NULL	NULL	Aerobe	NULL	NULL	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:02
778	NULL	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus		bacillus		Bacillus	genus	NULL	NULL	NULL	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
779	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	cellulosilyticus	bacteroides	cellulosilyticus	Bacteroides cellulosilyticus	species	246787	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
780	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	clarus	bacteroides	clarus	Bacteroides clarus	species	626929	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
781	NULL	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	coprocola	bacteroides	coprocola	Bacteroides coprocola	species	NULL	NULL	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:02
782	NULL	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	dorei	bacteroides	dorei	Bacteroides dorei	species	NULL	NULL	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:02
783	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	faecis	bacteroides	faecis	Bacteroides faecis	species	1077285	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
784	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	finegoldii	bacteroides	finegoldii	Bacteroides finegoldii	species	338188	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
785	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	fluxus	bacteroides	fluxus	Bacteroides fluxus	species	626930	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
786	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	graminisolvens	bacteroides	graminisolvens	Bacteroides graminisolvens	species	1121097	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
787	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	helcogenes	bacteroides	helcogenes	Bacteroides helcogenes	species	290053	Negative	Anaerobic	NULL	Nonsporulating	fermenter	N/A	2026-06-19 10:03:02	2026-06-19 10:03:04
788	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	intestinalis	bacteroides	intestinalis	Bacteroides intestinalis	species	329854	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
789	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	maternus	bacteroides	maternus	Bacteroides maternus	species	3117552	Negative	Anaerobic	NULL	Nonsporulating	fermenter	N/A	2026-06-19 10:03:02	2026-06-19 10:03:05
790	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	oleiciplenus	bacteroides	oleiciplenus	Bacteroides oleiciplenus	species	626931	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
791	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	pyogenes	bacteroides	pyogenes	Bacteroides pyogenes	species	1121100	Negative	Obligate anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
792	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	salyersiae	bacteroides	salyersiae	Bacteroides salyersiae	species	1121101	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
793	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	sp. 1_1_14	bacteroides	sp. 1_1_14	Bacteroides sp. 1_1_14	species	469585	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
794	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	sp. 1_1_30	bacteroides	sp. 1_1_30	Bacteroides sp. 1_1_30	species	457387	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
795	NULL	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	sp. 20_3	bacteroides	sp. 20_3	Bacteroides sp. 20_3	species	NULL	NULL	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:02
796	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	sp. 2_1_22	bacteroides	sp. 2_1_22	Bacteroides sp. 2_1_22	species	469588	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
797	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	sp. 2_1_33b	bacteroides	sp. 2_1_33b	Bacteroides sp. 2_1_33b	species	469589	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
798	NULL	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	sp. 2_1_7	bacteroides	sp. 2_1_7	Bacteroides sp. 2_1_7	species	NULL	NULL	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:02
799	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	sp. 2_2_4	bacteroides	sp. 2_2_4	Bacteroides sp. 2_2_4	species	469590	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
800	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	sp. 3_1_19	bacteroides	sp. 3_1_19	Bacteroides sp. 3_1_19	species	469592	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
801	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	sp. 3_1_23	bacteroides	sp. 3_1_23	Bacteroides sp. 3_1_23	species	457390	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
802	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	sp. 3_1_33faa	bacteroides	sp. 3_1_33faa	Bacteroides sp. 3_1_33faa	species	457391	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
803	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	sp. 3_1_40a	bacteroides	sp. 3_1_40a	Bacteroides sp. 3_1_40a	species	469593	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
804	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	sp. 3_2_5	bacteroides	sp. 3_2_5	Bacteroides sp. 3_2_5	species	457392	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
805	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	sp. 4_1_36	bacteroides	sp. 4_1_36	Bacteroides sp. 4_1_36	species	457393	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
806	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	sp. 4_3_47faa	bacteroides	sp. 4_3_47faa	Bacteroides sp. 4_3_47faa	species	457394	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
807	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	sp. 9_1_42faa	bacteroides	sp. 9_1_42faa	Bacteroides sp. 9_1_42faa	species	457395	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
808	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	sp. d1	bacteroides	sp. d1	Bacteroides sp. d1	species	556258	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
809	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	sp. d2	bacteroides	sp. d2	Bacteroides sp. d2	species	556259	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
810	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	sp. d20	bacteroides	sp. d20	Bacteroides sp. d20	species	585543	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
811	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	sp. d22	bacteroides	sp. d22	Bacteroides sp. d22	species	585544	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
812	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	stercoris	bacteroides	stercoris	Bacteroides stercoris	species	449673	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
813	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	thetaiotaomicron	bacteroides	thetaiotaomicron	Bacteroides thetaiotaomicron	species	226186	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
814	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	timonensis	bacteroides	timonensis	Bacteroides timonensis	species	1203465	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
815	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	xylanisolvens	bacteroides	xylanisolvens	Bacteroides xylanisolvens	species	371601	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
816	Eubacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	intestinihominis	barnesiella	intestinihominis	Barnesiella intestinihominis	species	487174	Negative	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
817	Fungi	Basidiomycota	Bartheletiomycetes	Bartheletiales	Bartheletiaceae	Bartheletia	paradoxa	bartheletia	paradoxa	Bartheletia paradoxa	species	669517	NULL	Aerobe	NULL	Sporulating (basidiospores)	fermenter	complex_carbs_fiber	2026-06-19 10:03:02	2026-06-19 10:03:04
818	Eubacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella	henselae	bartonella	henselae	Bartonella henselae	species	38323	Negative	Aerobe	NULL	NULL	respirator	N/A	2026-06-19 10:03:02	2026-06-19 10:03:05
819	Eubacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella	quintana	bartonella	quintana	Bartonella quintana	species	283165	Negative	Aerobe	NULL	Nonsporulating	respirator	N/A	2026-06-19 10:03:02	2026-06-19 10:03:04
820	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	bassiana	beauveria	bassiana	Beauveria bassiana	species	176275	NULL	NULL	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:04
821	Eubacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia	indica	beijerinckia	indica	Beijerinckia indica	species	533	Negative	Aerobe	NULL	NULL	respirator	organic_unspecified	2026-06-19 10:03:02	2026-06-19 10:03:05
822	Eubacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Bergeyella	zoohelcum	bergeyella	zoohelcum	Bergeyella zoohelcum	species	1015	NULL	NULL	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:04
823	Eubacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	angulatum	bifidobacterium	angulatum	Bifidobacterium angulatum	species	1683	Positive	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
824	Eubacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	animalis	bifidobacterium	animalis	Bifidobacterium animalis	species	1042403	Positive	Anaerobe	NULL	Nonsporulating	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
825	Eubacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	boum	bifidobacterium	boum	Bifidobacterium boum	species	1410645	Positive	Facultative anaerobe, air+co2	NULL	NULL	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:05
826	Eubacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	catenulatum	bifidobacterium	catenulatum	Bifidobacterium catenulatum	species	1150460	Positive	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
827	Eubacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	coryneforme	bifidobacterium	coryneforme	Bifidobacterium coryneforme	species	1437599	Positive	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:05
828	Eubacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	dentium	bifidobacterium	dentium	Bifidobacterium dentium	species	1689	Positive	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
829	Eubacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	gallicum	bifidobacterium	gallicum	Bifidobacterium gallicum	species	561180	Positive	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
830	Bacillati	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	hominis	bifidobacterium	hominis	Bifidobacterium hominis	species	3133177	Positive	Anaerobic	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:05
831	Eubacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	mongoliense	bifidobacterium	mongoliense	Bifidobacterium mongoliense	species	1437603	Positive	Facultative anaerobe	NULL	NULL	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
832	Eubacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	pseudocatenulatum	bifidobacterium	pseudocatenulatum	Bifidobacterium pseudocatenulatum	species	28026	Positive	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
833	Eubacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	ruminantium	bifidobacterium	ruminantium	Bifidobacterium ruminantium	species	1410647	Positive	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:05
834	Eubacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	scardovii	bifidobacterium	scardovii	Bifidobacterium scardovii	species	1150461	Positive	Facultative anaerobe	NULL	NULL	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:05
835	Eubacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	thermacidophilum	bifidobacterium	thermacidophilum	Bifidobacterium thermacidophilum	species	1121111	Positive	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:05
836	Eubacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	thermophilum	bifidobacterium	thermophilum	Bifidobacterium thermophilum	species	1254439	Positive	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
837	Eubacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	wadsworthia	bilophila	wadsworthia	Bilophila wadsworthia	species	35833	Negative	Anaerobe	NULL	NULL	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
838	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	oryzae	bipolaris	oryzae	Bipolaris oryzae	species	101162	Positive	Aerobic	NULL	Sporulating (ascospores); reproduction also by budding	respirator	organic_unspecified	2026-06-19 10:03:02	2026-06-19 10:03:04
839	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	sorokiniana	bipolaris	sorokiniana	Bipolaris sorokiniana	species	45130	Positive	Aerobic	NULL	Sporulating (ascospores); reproduction also by budding	respirator	organic_unspecified	2026-06-19 10:03:02	2026-06-19 10:03:04
